epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,114.126,0.64324,0.87141,0.91718,0.97152,1,0.995,0.82372,0.71868,1.2006,0.93759,0.000590701,0.000590701,0.000590701
97,115.252,0.70893,0.84389,0.93402,0.97152,1,0.995,0.82372,0.71868,1.2006,0.93759,0.000586357,0.000586357,0.000586357
98,116.298,0.58001,0.75451,0.92599,0.97152,1,0.995,0.82372,0.71868,1.2006,0.93759,0.000581793,0.000581793,0.000581793
99,117.346,0.5613,0.72659,0.90244,0.97152,1,0.995,0.82372,0.71868,1.2006,0.93759,0.000577009,0.000577009,0.000577009
100,118.442,0.56708,0.77494,0.84744,0.94274,1,0.995,0.83172,0.65733,1.08507,0.93126,0.000572004,0.000572004,0.000572004
101,119.486,0.72374,0.92652,0.9698,0.94274,1,0.995,0.83172,0.65733,1.08507,0.93126,0.00056678,0.00056678,0.00056678
102,120.534,0.57929,0.73469,0.91454,0.94274,1,0.995,0.83172,0.65733,1.08507,0.93126,0.000555778,0.000555778,0.000555778
103,121.628,0.6073,0.69019,0.89286,0.94274,1,0.995,0.83172,0.65733,1.08507,0.93126,0.000544776,0.000544776,0.000544776
104,122.799,0.64619,0.82312,0.91037,0.94819,0.99453,0.995,0.82117,0.68539,1.01507,0.93947,0.000533773,0.000533773,0.000533773
105,123.85,0.62335,0.6758,0.93211,0.94819,0.99453,0.995,0.82117,0.68539,1.01507,0.93947,0.000522771,0.000522771,0.000522771
106,124.893,0.71395,0.7057,0.9305,0.94819,0.99453,0.995,0.82117,0.68539,1.01507,0.93947,0.000511769,0.000511769,0.000511769
107,125.955,0.70355,0.73664,0.90885,0.94819,0.99453,0.995,0.82117,0.68539,1.01507,0.93947,0.000500767,0.000500767,0.000500767
108,127.033,0.56959,1.34548,0.9062,0.97619,0.99016,0.995,0.8062,0.72712,0.98466,0.9361,0.000489765,0.000489765,0.000489765
109,128.082,0.67833,0.77929,0.92791,0.97619,0.99016,0.995,0.8062,0.72712,0.98466,0.9361,0.000478762,0.000478762,0.000478762
110,129.143,0.63444,0.75749,0.88591,0.97619,0.99016,0.995,0.8062,0.72712,0.98466,0.9361,0.00046776,0.00046776,0.00046776
111,130.175,0.55085,0.79884,0.97266,0.97619,0.99016,0.995,0.8062,0.72712,0.98466,0.9361,0.000456758,0.000456758,0.000456758
112,131.268,0.62945,0.81555,0.96427,0.99363,0.99832,0.995,0.77837,0.75854,0.98689,0.933,0.000445756,0.000445756,0.000445756
113,132.3,0.63943,0.924,0.98356,0.99363,0.99832,0.995,0.77837,0.75854,0.98689,0.933,0.000434754,0.000434754,0.000434754
114,133.377,0.54343,0.71456,0.86055,0.99363,0.99832,0.995,0.77837,0.75854,0.98689,0.933,0.000423751,0.000423751,0.000423751
115,134.408,0.49486,0.72346,0.93811,0.99363,0.99832,0.995,0.77837,0.75854,0.98689,0.933,0.000412749,0.000412749,0.000412749
116,135.502,0.65045,0.76404,0.95472,0.99254,0.99587,0.995,0.80807,0.73399,0.93268,0.93791,0.000401747,0.000401747,0.000401747
117,136.533,0.61528,0.88086,1.01275,0.99254,0.99587,0.995,0.80807,0.73399,0.93268,0.93791,0.000390745,0.000390745,0.000390745
118,137.658,0.53884,0.92797,0.918,0.99254,0.99587,0.995,0.80807,0.73399,0.93268,0.93791,0.000379743,0.000379743,0.000379743
119,138.689,0.61755,0.84471,0.92067,0.99254,0.99587,0.995,0.80807,0.73399,0.93268,0.93791,0.00036874,0.00036874,0.00036874
120,139.767,0.57247,1.00335,0.88875,0.98349,0.99973,0.995,0.81536,0.68738,0.92105,0.9351,0.000357738,0.000357738,0.000357738
121,140.8,0.63602,0.7061,0.88824,0.98349,0.99973,0.995,0.81536,0.68738,0.92105,0.9351,0.000346736,0.000346736,0.000346736
122,141.846,0.6834,0.72805,0.92009,0.98349,0.99973,0.995,0.81536,0.68738,0.92105,0.9351,0.000335734,0.000335734,0.000335734
123,142.892,0.6101,0.72761,0.86373,0.98349,0.99973,0.995,0.81536,0.68738,0.92105,0.9351,0.000324732,0.000324732,0.000324732
124,143.956,0.46346,1.00696,0.91464,0.97357,1,0.995,0.8221,0.65677,0.91093,0.93282,0.000313729,0.000313729,0.000313729
125,144.986,0.62111,0.68441,0.88105,0.97357,1,0.995,0.8221,0.65677,0.91093,0.93282,0.000302727,0.000302727,0.000302727
126,146.032,0.55314,0.67408,0.91905,0.97357,1,0.995,0.8221,0.65677,0.91093,0.93282,0.000291725,0.000291725,0.000291725
127,147.065,0.4506,0.74954,0.92182,0.97357,1,0.995,0.8221,0.65677,0.91093,0.93282,0.000280723,0.000280723,0.000280723
128,148.143,0.58621,0.94195,0.91847,0.97155,1,0.995,0.85927,0.63277,0.88531,0.92934,0.000269721,0.000269721,0.000269721
129,149.191,0.51812,0.80348,0.80927,0.97155,1,0.995,0.85927,0.63277,0.88531,0.92934,0.000258718,0.000258718,0.000258718
130,150.252,0.80899,0.93377,1.01986,0.97155,1,0.995,0.85927,0.63277,0.88531,0.92934,0.000247716,0.000247716,0.000247716
131,151.3,0.59753,0.8718,0.93024,0.97155,1,0.995,0.85927,0.63277,0.88531,0.92934,0.000236714,0.000236714,0.000236714
132,152.397,0.57123,0.69892,0.8943,0.97219,1,0.995,0.84348,0.61945,0.86917,0.92551,0.000225712,0.000225712,0.000225712
133,153.534,0.47592,0.79855,0.91176,0.97219,1,0.995,0.84348,0.61945,0.86917,0.92551,0.00021471,0.00021471,0.00021471
134,154.58,0.62569,0.74218,0.88956,0.97219,1,0.995,0.84348,0.61945,0.86917,0.92551,0.000203707,0.000203707,0.000203707
135,155.642,0.85956,1.08466,1.02139,0.97219,1,0.995,0.84348,0.61945,0.86917,0.92551,0.000192705,0.000192705,0.000192705
136,156.721,0.6108,0.80842,0.93722,0.97665,1,0.995,0.83589,0.61905,0.83948,0.92766,0.000181703,0.000181703,0.000181703
137,157.753,0.52484,0.64985,0.91997,0.97665,1,0.995,0.83589,0.61905,0.83948,0.92766,0.000170701,0.000170701,0.000170701
138,158.831,0.51093,0.74814,0.89289,0.97665,1,0.995,0.83589,0.61905,0.83948,0.92766,0.000159699,0.000159699,0.000159699
139,159.877,0.51769,0.73014,0.89174,0.97665,1,0.995,0.83589,0.61905,0.83948,0.92766,0.000148696,0.000148696,0.000148696
140,160.942,0.53176,1.01559,0.97566,0.98121,1,0.995,0.83831,0.62346,0.8293,0.93081,0.000137694,0.000137694,0.000137694
141,161.989,0.59366,0.81063,0.9144,0.98121,1,0.995,0.83831,0.62346,0.8293,0.93081,0.000126692,0.000126692,0.000126692
142,163.034,0.58982,0.9093,0.95467,0.98121,1,0.995,0.83831,0.62346,0.8293,0.93081,0.00011569,0.00011569,0.00011569
143,164.08,0.67372,0.91339,0.8352,0.98121,1,0.995,0.83831,0.62346,0.8293,0.93081,0.000104688,0.000104688,0.000104688
144,165.144,0.58543,0.88065,0.881,0.98474,1,0.995,0.84151,0.62904,0.82968,0.93265,9.36854e-05,9.36854e-05,9.36854e-05
145,166.174,0.4451,0.7359,0.87472,0.98474,1,0.995,0.84151,0.62904,0.82968,0.93265,8.26832e-05,8.26832e-05,8.26832e-05
146,167.206,0.52131,0.77133,0.84807,0.98474,1,0.995,0.84151,0.62904,0.82968,0.93265,7.1681e-05,7.1681e-05,7.1681e-05
147,168.251,0.55581,0.90565,0.84976,0.98474,1,0.995,0.84151,0.62904,0.82968,0.93265,6.06788e-05,6.06788e-05,6.06788e-05
148,169.331,0.52612,0.78173,0.80482,0.98844,1,0.995,0.83906,0.63407,0.83249,0.93154,4.96766e-05,4.96766e-05,4.96766e-05
149,170.43,0.47573,0.71105,0.92462,0.98844,1,0.995,0.83906,0.63407,0.83249,0.93154,3.86744e-05,3.86744e-05,3.86744e-05
150,171.613,0.48063,0.76887,0.8678,0.98844,1,0.995,0.83906,0.63407,0.83249,0.93154,2.76722e-05,2.76722e-05,2.76722e-05
